year,team,tale,qb_tier_avg,pff_imp_index,proj_qb_tier_avg
2021,ARI,3.3,2.5,,
2021,ATL,-3.5,2.75,,
2021,BAL,-0.4,4,,
2021,BUF,5.1,1.25,,
2021,CAR,-0.8,4.25,,
2021,CHI,-2.2,3.75,,
2021,CIN,-0.1,2.25,,
2021,CLE,0.8,3.5,,
2021,DAL,4.8,2.25,,
2021,DEN,-2,3.75,,
2021,DET,-4.9,3.25,,
2021,GB,2,1,,
2021,HOU,-2.8,4,,
2021,IND,4.6,3.25,,
2021,JAX,-6.6,3.75,,
2021,KC,4.4,1,,
2021,LA,2.8,2,,
2021,LAC,1.1,2,,
2021,LV,-1.4,2.5,,
2021,MIA,-0.8,4,,
2021,MIN,1.7,2.75,,
2021,NE,3.1,3.75,,
2021,NO,-0.4,4.25,,
2021,NYG,-5,4.5,,
2021,NYJ,-6.2,4,,
2021,PHI,-0.7,3.5,,
2021,PIT,-3.1,3.5,,
2021,SEA,1.7,1.75,,
2021,SF,1.7,3,,
2021,TB,4.2,1.25,,
2021,TEN,2.4,2.5,,
2021,WAS,-2.9,3.75,,
