week,team,opponent
1,HOU,IND
2,HOU,DEN
3,HOU,CHI
4,HOU,LAC
5,HOU,JAX
6,HOU,
7,HOU,LV
8,HOU,TEN
9,HOU,PHI
10,HOU,NYG
11,HOU,WAS
12,HOU,MIA
13,HOU,CLE
14,HOU,DAL
15,HOU,KC
16,HOU,TEN
17,HOU,JAX
18,HOU,IND
1,IND,HOU
2,IND,JAX
3,IND,KC
4,IND,TEN
5,IND,DEN
6,IND,JAX
7,IND,TEN
8,IND,WAS
9,IND,NE
10,IND,LV
11,IND,PHI
12,IND,PIT
13,IND,DAL
14,IND,
15,IND,MIN
16,IND,LAC
17,IND,NYG
18,IND,HOU
1,BAL,NYJ
2,BAL,MIA
3,BAL,NE
4,BAL,BUF
5,BAL,CIN
6,BAL,NYG
7,BAL,CLE
8,BAL,TB
9,BAL,NO
10,BAL,
11,BAL,CAR
12,BAL,JAX
13,BAL,DEN
14,BAL,PIT
15,BAL,CLE
16,BAL,ATL
17,BAL,PIT
18,BAL,CIN
1,CIN,PIT
2,CIN,DAL
3,CIN,NYJ
4,CIN,MIA
5,CIN,BAL
6,CIN,NO
7,CIN,ATL
8,CIN,CLE
9,CIN,CAR
10,CIN,
11,CIN,PIT
12,CIN,TEN
13,CIN,KC
14,CIN,CLE
15,CIN,TB
16,CIN,NE
17,CIN,BUF
18,CIN,BAL
1,PIT,CIN
2,PIT,NE
3,PIT,CLE
4,PIT,NYJ
5,PIT,BUF
6,PIT,TB
7,PIT,MIA
8,PIT,PHI
9,PIT,
10,PIT,NO
11,PIT,CIN
12,PIT,IND
13,PIT,ATL
14,PIT,BAL
15,PIT,CAR
16,PIT,LV
17,PIT,BAL
18,PIT,CLE
